6.35	2.43
7.32	13.73
0.51	25.19
10.60	14.32
5.50	10.68
6.25	10.43
6.02	10.00
3.52	15.05
8.25	34.59
7.26	36.25
6.98	39.18
9.81	38.63
30.10	31.32
7.74	35.48
9.68	39.53
15.33	38.93
7.93	38.72
-1.65	13.60
10.70	-12.25
-1.43	40.03
0.04	36.36
-0.25	35.73
0.47	35.98
-1.04	37.08
-15.62	34.52
11.85	13.16
13.55	2.03
-2.29	28.55
-2.49	28.92
-33.93	18.85
-30.97	27.59
-25.42	30.10
-31.06	30.22
-28.60	28.05
-23.94	31.14
-8.89	33.44
0.71	30.06
0.53	32.60
-1.28	29.69
1.68	31.72
-16.54	28.72
-16.52	28.80
-17.86	25.86
-12.18	26.40
-18.16	28.22
0.51	25.19
6.25	10.43
8.25	34.59
7.26	36.25
6.98	39.18
9.81	38.63
30.10	31.32
7.74	35.48
9.68	39.53
7.93	38.72
-1.65	13.60
10.70	-12.25
-1.43	40.03
0.04	36.36
-0.25	35.73
0.47	35.98
-1.04	37.08
11.85	13.16
-2.29	28.55
-2.49	28.92
-30.97	27.59
-25.42	30.10
-31.06	30.22
-28.60	28.05
-23.94	31.14
-8.89	33.44
0.53	32.60
-1.28	29.69
1.68	31.72
-16.54	28.72
-16.52	28.80
-17.86	25.86
-12.18	26.40
-18.16	28.22
