47.66	-122.92
47.61	-122.33
49.52	-121.43
49.46	-120.56
50.11	-120.78
50.23	-121.58
50.68	-120.34
50.69	-117.91
50.24	-117.8
49.91	-116.91
38.94	-119.98
37.78	-122.42
36.56	-118.77
43.62	-116.2
45.81	-113.94
43.83	-110.7
44.06	-110.29
44.84	-106.96
43.76	-103.42
37.34	-111.87
40.25	-105.81
38.84	-105.04
41.87	-103.61
35.11	-106.6
33.02	-96.69
32.76	-97.33
32.71	-97.12
19.34	-98.67
15.27	-89.04
14.61	-90.53
32.69	-114.62
19.43	-99.13
16.9	-96.41
34.05	-118.2
32.72	-117.16
38.82	-106.43
30.5930555556	-103.9430555556
36.0333333333	-112.1333333333
17.1	-96.75
18.906	-99.60635
36.2083333333	-112.0583333333
37.3	-108.4161111111
38.8094444444	-106.8663888889
32.21	-110.9
